time(hours:minutes:seconds:milliseconds:microseconds), Injector Temperature, Vent Temperature, N/A, Combustion Temperature, Injector Pressure, Tank Pressure, Feed Pressure, Load Cell 1, Load Cell 2
17:04:00:146:781,14.01,2.49,-273.15,14.16,427.73,476.89,287.2,9.51,-98.55
17:04:00:234:366,14.01,2.49,-273.15,14.18,603.41,471.25,287.2,21.64,-98.55
17:04:00:321:847,14.01,2.49,-273.15,14.16,692.05,470.44,287.2,863.54,-52.58
17:04:00:409:438,14.01,2.49,-273.15,14.18,695.27,468.83,287.2,4862.51,864.78
17:04:00:497:121,14.01,2.49,-273.15,14.16,721.87,466.41,287.2,11218.75,3438.25
17:04:00:584:357,13.98,2.49,-273.15,14.16,721.87,464.8,287.2,18496.42,6846.04
17:04:00:671:578,13.98,2.49,-273.15,14.16,704.95,463.19,287.2,26010.13,10617.71
17:04:00:759:305,14.01,2.49,-273.15,14.18,699.3,460.77,287.2,33638.53,14525.91
17:04:00:846:391,14.01,2.46,-273.15,14.18,678.35,459.16,287.2,41265.61,22595.38
17:04:00:933:770,13.98,2.46,-273.15,14.16,690.44,456.74,287.2,48804.00,26606.00
17:04:01:021:081,14.01,2.43,-273.15,14.18,675.93,455.13,287.2,56270.44,30589.25
17:04:01:107:835,14.01,2.43,-273.15,14.18,663.04,452.71,287.2,63721.57,34571.26
17:04:01:195:561,14.01,2.43,-273.15,14.18,663.04,450.29,287.2,71100.97,38516.68
17:04:01:282:930,14.01,2.41,-273.15,14.18,650.15,448.68,287.2,78401.04,42421.57
17:04:01:370:187,14.01,2.41,-273.15,14.18,647.73,446.26,287.2,85654.45,46299.59
17:04:01:457:394,14.01,2.41,-273.15,14.18,639.67,443.85,287.2,92861.21,50154.38
17:04:01:544:987,14.01,2.38,-273.15,14.18,638.86,441.43,287.2,100014.96,53979.33
17:04:01:632:164,14.01,2.35,-273.15,14.18,630.0,439.82,287.2,107123.44,57730.53
17:04:01:719:763,14.01,2.35,-273.15,14.18,630.81,437.4,287.2,113372.51,60602.48
17:04:01:806:783,14.01,2.35,-273.15,14.18,626.78,434.98,287.2,116408.62,61795.32
17:04:01:893:993,14.01,2.35,-273.15,14.18,611.47,432.56,287.6,117051.42,62124.74
17:04:01:980:957,14.01,2.33,-273.15,14.21,614.69,430.95,287.6,117051.42,62124.74
17:04:02:068:589,14.01,2.3,-273.15,14.18,596.96,428.53,287.2,116726.20,62071.88
17:04:02:155:932,14.01,2.3,-273.15,14.18,600.99,426.12,287.2,116113.24,61846.59
17:04:02:243:309,14.01,2.27,-273.15,14.18,588.1,423.7,287.6,115353.35,61478.36
17:04:02:329:979,14.01,2.27,-273.15,14.18,586.48,422.09,287.2,114539.50,61041.76
17:04:02:417:795,14.01,2.24,-273.15,14.18,576.81,419.67,287.2,113795.39,60192.01
17:04:02:504:967,14.01,2.24,-273.15,14.18,576.81,417.25,287.2,113066.10,59745.49
17:04:02:592:300,14.01,2.22,-273.15,14.18,572.78,414.84,287.2,112298.83,59308.55
17:04:02:679:159,14.01,2.19,-273.15,14.18,567.95,412.42,287.2,111558.45,58873.12
17:04:02:766:906,14.01,2.19,-273.15,14.21,561.5,410.81,287.6,110888.84,58453.28
17:04:02:854:163,14.01,2.14,-273.15,14.21,560.7,409.19,287.2,110237.57,58046.25
17:04:02:941:338,14.01,2.14,-273.15,14.21,550.22,406.78,287.2,109606.55,57647.21
